participant_idx,trial_number,condition,reaction_time,movement_time,first_cohort_n50,unnamed_1,unnamed_2,unnamed_3,unnamed_4,apen_cursor_cursor_horizontal_motion,unnamed_6,unnamed_7,unnamed_8,unnamed_9,unnamed_10,unnamed_11,unnamed_12,unnamed_13,unnamed_14,unnamed_15,apen_cursor_cursor_vertical_motion,unnamed_17,unnamed_18,unnamed_19,unnamed_20,unnamed_21,unnamed_22
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,Subjects,SEX,trial 1,trial 2,trial 3,trial 4,trial 5,trial 6,trial 7,trial 8,trial 9,trial 10,NaN,trial 1,trial 2,trial 3,trial 4,trial 5,trial 6,trial 7,trial 8,trial 9,trial 10
NaN,NaN,NaN,NaN,NaN,S1,M,0.49341105,0.50209145,0.45181781,0.49092563,0.54725653,0.47778911,0.41952683,0.49248569,0.4116332,0.55392085,NaN,0.48975912,0.43841166,0.49829702,0.54463542,0.50630899,0.57610585,0.47258904,0.42017459,0.46166108,0.54777364
NaN,NaN,NaN,NaN,NaN,S2,M,0.47842776,0.5674243,0.51480465,0.52522848,0.53310883,0.43087787,0.55516144,0.46637953,0.46916446,0.50918308,NaN,0.52896446,0.49860552,0.51552017,0.54410436,0.38690536,0.48087524,0.42979049,0.49743323,0.54629846,0.51757197
NaN,NaN,NaN,NaN,NaN,S3,M,0.45688554,0.52214476,0.46350867,0.49737207,0.47296258,0.41097675,0.43382777,0.48840505,0.36668666,0.47171437,NaN,0.44962961,0.4595319,0.58735177,0.3869888,0.55183677,0.50295886,0.46959339,0.48134101,0.46366509,0.53625167
NaN,NaN,NaN,NaN,NaN,S4,M,0.58629748,0.40432758,0.4870696,0.48497294,0.42249753,0.3511804,0.49443618,0.52250359,0.4380615,0.46671273,NaN,0.56761561,0.44850099,0.52526721,0.53417507,0.53857116,0.50510026,0.42878059,0.45619278,0.4694931,0.55100689
NaN,NaN,NaN,NaN,NaN,S5,M,0.50849535,0.43478347,0.43444163,0.47507985,0.40365353,0.39694187,0.37985474,0.47152281,0.42011888,0.54638626,NaN,0.58266228,0.49839279,0.48144223,0.49884115,0.51735295,0.47859912,0.48437567,0.44716861,0.41995468,0.40119066
NaN,NaN,NaN,NaN,NaN,S6,M,0.52716344,0.43328789,0.59402964,0.57849,0.51974473,0.56662083,0.61423575,0.59757273,0.55814145,0.58285573,NaN,0.52294501,0.46157375,0.54157079,0.4848762,0.48140554,0.43789791,0.54492556,0.52375317,0.51806381,0.52735616
NaN,NaN,NaN,NaN,NaN,S7,M,0.46636182,0.51241152,0.53071759,0.43971676,0.45568913,0.47571004,0.48003169,0.45403352,0.49897081,0.50439317,NaN,0.50872211,0.4717735,0.49248816,0.44392713,0.48498669,0.55146883,0.55894421,0.46902038,0.41229869,0.49343765
NaN,NaN,NaN,NaN,NaN,S8,M,0.49852122,0.45318943,0.46295046,0.55374989,0.45178412,0.4627305,0.53659947,0.46401782,0.44909491,0.47531452,NaN,0.54484032,0.50622643,0.48886933,0.55069008,0.54498118,0.53288487,0.42946654,0.45132055,0.53058795,0.49369888
NaN,NaN,NaN,NaN,NaN,S9,M,0.47261959,0.45405317,0.60839689,0.5601892,0.52005558,0.57449981,0.49100422,0.4712976,0.50364418,0.44741899,NaN,0.42599482,0.42339981,0.49971482,0.40509704,0.37070798,0.50064833,0.54606333,0.49977769,0.47614007,0.51578853
NaN,NaN,NaN,NaN,NaN,S10,M,0.50296369,0.56372231,0.68254343,0.53389622,0.47597078,0.42455648,0.5491094,0.4521362,0.45804398,0.51605041,NaN,0.49496665,0.65712761,0.52074967,0.51553678,0.59391877,0.48686061,0.58141194,0.49362768,0.56904731,0.54456376
NaN,NaN,NaN,NaN,NaN,S11,M,0.57483509,0.52842647,0.58689523,0.52350233,0.57450481,0.45269402,0.48442368,0.50326092,0.58268101,0.49816402,NaN,0.59495732,0.53097941,0.5244351,0.51147189,0.51668062,0.52824765,0.49306171,0.57053621,0.5001002,0.45529406
NaN,NaN,NaN,NaN,NaN,S12,M,0.47816936,0.433844,0.55015359,0.48325557,0.48645652,0.45927211,0.41637175,0.50218839,0.46247739,0.47036751,NaN,0.43859442,0.44791642,0.45152534,0.50458364,0.48011412,0.37825869,0.49807673,0.38499933,0.42868617,0.46730869
NaN,NaN,NaN,NaN,NaN,S13,M,0.57508105,0.54976191,0.56423315,0.51240575,0.51700715,0.52612139,0.62918942,0.59813846,0.54446541,0.50868182,NaN,0.53581774,0.58012847,0.58127184,0.54840921,0.48855616,0.47737176,0.49284893,0.54421698,0.57907777,0.49421015
NaN,NaN,NaN,NaN,NaN,S14,M,0.56735686,0.56970499,0.68424223,0.67048615,0.54287133,0.59680262,0.58176374,0.63470377,0.59215231,0.62272908,NaN,0.49373549,0.61728363,0.63761789,0.60416557,0.59004126,0.57536919,0.55611429,0.72452135,0.65696098,0.67668681
NaN,NaN,NaN,NaN,NaN,S15,M,0.53966029,0.53383723,0.5332893,0.47912022,0.54421133,0.50577395,0.51520225,0.45079783,0.51257765,0.53512712,NaN,0.40043191,0.46421385,0.49482071,0.47791853,0.53017242,0.47858592,0.4948605,0.46869758,0.48600919,0.48355136
NaN,NaN,NaN,NaN,NaN,S16,M,0.4241218,0.56302818,0.4810389,0.5541535,0.66149405,0.46637773,0.47436955,0.49856596,0.45976027,0.48898592,NaN,0.5055618,0.59880449,0.52444864,0.55620619,0.60965236,0.49987278,0.5359428,0.51209282,0.4057044,0.44025733
NaN,NaN,NaN,NaN,NaN,S17,M,0.52563909,0.50882701,0.42071494,0.51760197,0.47917503,0.51375183,0.4623099,0.43890503,0.44152177,0.35736612,NaN,0.44090504,0.46874321,0.38150809,0.45106896,0.52247075,0.43431343,0.49080548,0.39667573,0.41498101,0.39357695
NaN,NaN,NaN,NaN,NaN,S18,M,0.55822626,0.66553552,0.62013945,0.55876223,0.6658774,0.57380324,0.6192801,0.55528799,0.59895661,0.44255536,NaN,0.49767206,0.49155081,0.56460484,0.48332825,0.48782187,0.5460449,0.43921438,0.48495562,0.64712208,0.49673879
NaN,NaN,NaN,NaN,NaN,S19,M,0.49328632,0.58660603,0.44241601,0.5347293,0.51794187,0.4345553,0.46418605,0.52344787,0.46386135,0.47559642,NaN,0.48959673,0.60023565,0.54565737,0.59042656,0.50388687,0.54784673,0.5288357,0.60994365,0.557755,0.62963088
NaN,NaN,NaN,NaN,NaN,S20,M,0.49174311,0.58107513,0.49731498,0.51633418,0.59067239,0.46526273,0.51609748,0.4699966,0.5359619,0.53413213,NaN,0.56479826,0.46497125,0.49498727,0.50648704,0.44040001,0.42085213,0.52491493,0.50981148,0.49596002,0.43049503
NaN,NaN,NaN,NaN,NaN,S21,M,0.55407618,0.65807219,0.57730658,0.56063599,0.52454769,0.59687041,0.46547312,0.53840609,0.52995284,0.62354161,NaN,0.56687384,0.6621854,0.61756478,0.55232699,0.53260398,0.55261454,0.56909644,0.57401141,0.57570939,0.48348639
NaN,NaN,NaN,NaN,NaN,S22,M,0.5749408,0.65321831,0.61487495,0.41851338,0.48357821,0.54361128,0.58493412,0.49995264,0.53346121,0.57435336,NaN,0.47921299,0.54039199,0.54779627,0.45158184,0.49896911,0.45012103,0.53655528,0.48248027,0.53197657,0.44589013
NaN,NaN,NaN,NaN,NaN,S23,M,0.50785157,0.42598151,0.4878148,0.52397753,0.57253861,0.64558794,0.58037786,0.5743824,0.56998061,0.47325498,NaN,0.54617105,0.52571517,0.58212909,0.4755013,0.54116015,0.52731355,0.59330269,0.6152363,0.62493018,0.51426759
NaN,NaN,NaN,NaN,NaN,S24,M,0.52375236,0.64561477,0.52984527,0.51635927,0.56363072,0.53360512,0.53019206,0.60621769,0.45697777,0.5974868,NaN,0.47465004,0.59948409,0.51124984,0.62038124,0.59325879,0.59998376,0.57735459,0.57003907,0.62571232,0.5012952
NaN,NaN,NaN,NaN,NaN,S25,M,0.52564683,0.61571486,0.61574937,0.45083022,0.51968016,0.51801838,0.55893183,0.54446598,0.53759245,0.50759774,NaN,0.51294296,0.49497588,0.53575761,0.49617805,0.51113048,0.48791124,0.51637542,0.51560594,0.61627885,0.55923514
NaN,NaN,NaN,NaN,NaN,S26,F,0.47193251,0.56799389,0.509789,0.58509773,0.46406734,0.51809364,0.59357206,0.51837724,0.52396579,0.53301205,NaN,0.56504452,0.60399582,0.50035187,0.50170669,0.49769715,0.59230665,0.4592087,0.51500161,0.50681733,0.50305863
NaN,NaN,NaN,NaN,NaN,S27,F,0.51976023,0.52605814,0.3883513,0.489171,0.44515713,0.46713852,0.46592159,0.59931799,0.4876162,0.44503972,NaN,0.52849289,0.55382046,0.42003373,0.43575987,0.45129577,0.4506127,0.43429193,0.58953415,0.47119726,0.50610412
NaN,NaN,NaN,NaN,NaN,S28,F,0.46118498,0.48039368,0.57803836,0.53507288,0.51288425,0.49300462,0.55402876,0.47669065,0.59948968,0.47396557,NaN,0.46550082,0.56853139,0.53393431,0.51299244,0.62429858,0.47287495,0.48916748,0.46240913,0.52926626,0.54055659
NaN,NaN,NaN,NaN,NaN,S29,F,0.45435136,0.51895167,0.40656706,0.45875291,0.43916827,0.51549079,0.4285672,0.41974658,0.49721553,0.5223437,NaN,0.48499782,0.46480497,0.48044737,0.45984592,0.47066832,0.43805689,0.52885105,0.48490121,0.40134024,0.54226527
NaN,NaN,NaN,NaN,NaN,S30,F,0.48735028,0.55074136,0.49009165,0.47059141,0.48366356,0.46711666,0.46517491,0.55915649,0.54050627,0.4776588,NaN,0.55481869,0.4482128,0.52620641,0.45251927,0.43471125,0.3802256,0.50002344,0.40232903,0.56063056,0.44479251
NaN,NaN,NaN,NaN,NaN,S31,F,0.50640958,0.36481191,0.53857217,0.45490609,0.51968549,0.4840425,0.49026127,0.47416936,0.43695461,0.45371889,NaN,0.5172975,0.43120525,0.47301002,0.47074636,0.55269538,0.46406952,0.465202,0.52517281,0.4946446,0.48156873
NaN,NaN,NaN,NaN,NaN,S32,F,0.54593806,0.51909299,0.57611364,0.5392729,0.51832226,0.55453679,0.53423812,0.50480871,0.65780336,0.50790566,NaN,0.56836852,0.59308545,0.61801983,0.51306272,0.49209521,0.55517385,0.59771827,0.44442558,0.50960777,0.40231292
NaN,NaN,NaN,NaN,NaN,S33,F,0.51434139,0.5305371,0.5213505,0.45676391,0.40544012,0.4452025,0.36392351,0.47612588,0.53178109,0.50738953,NaN,0.48928177,0.38968943,0.46662303,0.47408393,0.44735199,0.41791394,0.48953562,0.41787832,0.44034704,0.5011734
NaN,NaN,NaN,NaN,NaN,S34,F,0.70544811,0.61638534,0.59989405,0.58494452,0.6264983,0.56513371,0.54399244,0.46641177,0.55102664,0.5504843,NaN,0.60637837,0.63936079,0.61094979,0.64929217,0.57200484,0.51203736,0.5388956,0.40429234,0.50314622,0.54516365
NaN,NaN,NaN,NaN,NaN,S35,F,0.60029,0.56255279,0.58900871,0.56531547,0.64609936,0.47938947,0.46629417,0.53414608,0.49438299,0.49677896,NaN,0.52213349,0.48405705,0.51196451,0.62601712,0.50484994,0.41739847,0.43600902,0.53370726,0.49312582,0.53816765
NaN,NaN,NaN,NaN,NaN,S36,F,0.42620061,0.51053129,0.43259417,0.54848586,0.46551405,0.43840058,0.50782612,0.43942331,0.41661836,0.502685,NaN,0.51259959,0.47648726,0.4132002,0.39631318,0.52571993,0.49815158,0.55861842,0.55401406,0.42314801,0.50079211
NaN,NaN,NaN,NaN,NaN,S37,F,0.62399164,0.51182973,0.52631929,0.51729395,0.48988114,0.60776939,0.5502752,0.52154208,0.53984609,0.53476713,NaN,0.51938802,0.65609634,0.62194977,0.5593382,0.5239516,0.39181806,0.49864789,0.54293112,0.51250382,0.51416866
NaN,NaN,NaN,NaN,NaN,S38,F,0.46826237,0.61233361,0.51691699,0.59653374,0.54729244,0.51144954,0.48515432000000003,0.44385397,0.4192537,0.49525342,NaN,0.3933244,0.52103871,0.52481811,0.52490704,0.58502441,0.55647285,0.47145971,0.51062131,0.51582438,0.57316219
NaN,NaN,NaN,NaN,NaN,S39,F,0.59582595,0.51230103,0.48608677,0.56197007,0.52937918,0.5068632,0.57116908,0.48900399,0.46791205,0.55232969,NaN,0.48623092,0.56541293,0.49035961,0.54934247,0.49708512,0.5837573,0.59044003,0.54820913,0.45368747,0.51226336
NaN,NaN,NaN,NaN,NaN,S40,F,0.59578475,0.52836863,0.54819204,0.53319717,0.50140199,0.60417161,0.47491012,0.4844037,0.51527043,0.54460107,NaN,0.47831221,0.51469542,0.4809822,0.48983556,0.61178374,0.52387251,0.53255533,0.44388582,0.52376938,0.4577182
NaN,NaN,NaN,NaN,NaN,S41,F,0.42183889,0.44173112,0.41311567,0.4431058,0.48256186,0.4506267,0.37792556,0.42244156,0.43964787,0.39601613,NaN,0.50286131,0.49104794,0.42928228,0.50797179,0.44781776,0.43793994,0.39257555,0.38533857,0.41574212,0.41339507
NaN,NaN,NaN,NaN,NaN,S42,F,0.60000548,0.62015843,0.60461318,0.49525377,0.53925202,0.56101088,0.51631145,0.42397122,0.50761634,0.5040472,NaN,0.43226304,0.39986456,0.52695867,0.49988228,0.4893234,0.40235162,0.4801812,0.41004128,0.5368089,0.42309128
NaN,NaN,NaN,NaN,NaN,S43,F,0.41559087,0.51949664,0.53141993,0.42427071,0.48962012,0.52043367,0.63155015,0.48233995,0.4022708,0.50293548,NaN,0.51622045,0.59688008,0.4953042,0.43764184,0.53866558,0.45306178,0.53600092,0.40432716,0.43260365,0.50657848
NaN,NaN,NaN,NaN,NaN,S44,F,0.59726452,0.55490424,0.50207366,0.56336216,0.5410073,0.58347112,0.43351732,0.43067249,0.5903699,0.46344571,NaN,0.45821426,0.54836192,0.46874024,0.48360007,0.53295851,0.509413,0.4999074,0.62511155,0.55383891,0.48272831
NaN,NaN,NaN,NaN,NaN,S45,F,0.62300501,0.53437605,0.49422361,0.62969992,0.55298085,0.43352867,0.53005142,0.54354699,0.57849602,0.56501878,NaN,0.47774426,0.53213273,0.5020394,0.58508258,0.39293036,0.44592062,0.43654735,0.59333566,0.54098121,0.48144484
NaN,NaN,NaN,NaN,NaN,S46,F,0.53654868,0.58235315,0.51162446,0.50175981,0.52124276,0.55029901,0.56175204,0.584192,0.50903137,0.48904768,NaN,0.42537067,0.50985906,0.50058868,0.56977676,0.52119555,0.48891856,0.58568437,0.52584763,0.58845698,0.49991622
NaN,NaN,NaN,NaN,NaN,S47,F,0.59853794,0.55145147,0.58313573,0.48332777,0.48758151,0.49947075,0.47441368,0.44317535,0.5318372,0.54107637,NaN,0.47953624,0.51059253,0.46691452,0.43879638,0.56649727,0.40698302,0.5226922,0.42448674,0.50651589,0.40616975
NaN,NaN,NaN,NaN,NaN,S48,F,0.48954724,0.48966432,0.48979784,0.46731917,0.5838852,0.55279418,0.515475,0.61268745,0.54249811,0.52592603,NaN,0.41656853,0.46628111,0.591196,0.55740144,0.48103213,0.54134902,0.58153951,0.53732551,0.52479246,0.4921629
NaN,NaN,NaN,NaN,NaN,S49,F,0.55103127,0.56754898,0.57419463,0.58855881,0.52795237,0.62447405,0.48402169,0.53241745,0.57403911,0.57084577,NaN,0.55271897,0.52574612,0.47674388,0.53603634,0.48713213,0.58420221,0.60609691,0.64054984,0.46457311,0.61877903
NaN,NaN,NaN,NaN,NaN,S50,F,0.57979547,0.53503088,0.60371236,0.64319352,0.59936878,0.44997717,0.54649204,0.49089815,0.53043833,0.49433022,NaN,0.56674987,0.55733987,0.62102371,0.54304776,0.54346361,0.58662613,0.53484762,0.45979882,0.62895946,0.47792096
